Typ ; Linje ; JourneyID ; Dagar ; JourneyIDRef
742 ; Buss 742 ; 9015014674200020 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=476478%2F161815%2F966106%2F324228%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110010%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100023 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=484827%2F164647%2F575860%2F126332%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110005%26station_type%3Ddep%26format%3Djson%26"}
4 ; Buss 4 ; 9015014675400022 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=489243%2F166181%2F371238%2F22543%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110013%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000023 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=353205%2F126374%2F485778%2F125165%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
3 ; Buss 3 ; 9015014675300020 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=388917%2F138296%2F633658%2F187190%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110007%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200023 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=783903%2F279996%2F479592%2F21510%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110006%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103042 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=487314%2F182558%2F497304%2F86214%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110001%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100026 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=825456%2F275571%2F4706%2F272803%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
733 ; Buss 733 ; 9015014673300016 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=398157%2F133173%2F334038%2F34302%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110014%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400026 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=697734%2F233065%2F238554%2F113305%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100024 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=569838%2F192996%2F935094%2F277607%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110011%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000025 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=846576%2F290831%2F464048%2F50180%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200024 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=930423%2F326187%2F491826%2F64234%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110012%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103044 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=687012%2F236800%2F24104%2F216953%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Öresundståg ; 9015030110101026 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=366288%2F123354%2F564198%2F160003%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110003%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100028 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=612225%2F204494%2F923988%2F257924%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400028 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=789870%2F263777%2F735624%2F104527%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
732 ; Buss 732 ; 9015014673200022 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=245604%2F82304%2F215856%2F26060%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
742 ; Buss 742 ; 9015014674200022 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=547536%2F185501%2F418322%2F26651%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110010%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100025 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=85533%2F31552%2F917334%2F430156%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110005%26station_type%3Ddep%26format%3Djson%26"}
4 ; Buss 4 ; 9015014675400024 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=880104%2F296468%2F52602%2F267073%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110013%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000027 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=615924%2F213947%2F165822%2F122410%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
3 ; Buss 3 ; 9015014675300022 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=617217%2F214396%2F704734%2F146629%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110007%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200025 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=244992%2F100359%2F880254%2F358469%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110006%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103046 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=911127%2F311510%2F572290%2F17564%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100030 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=755232%2F252163%2F867386%2F181955%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400030 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=48837%2F16766%2F460200%2F213827%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
732 ; Buss 732 ; 9015014673200024 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=37686%2F12998%2F161136%2F68007%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100026 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=260253%2F89801%2F606654%2F216583%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110011%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000029 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=624084%2F216667%2F917790%2F250881%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200026 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=331971%2F126703%2F279756%2F29228%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110012%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103048 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=512145%2F178511%2F54612%2F143411%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
746 ; Buss 746 ; 9015014674600004 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=778299%2F267076%2F832622%2F156878%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110007%26station_type%3Ddep%26format%3Djson%26"}
735 ; Buss 735 ; 9015014673500005 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=719001%2F242595%2F221364%2F128985%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
717 ; Buss 717 ; 9015014671700008 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=911751%2F322832%2F232302%2F187766%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110019%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Öresundståg ; 9015030110101032 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=742506%2F248760%2F197092%2F148957%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110003%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100032 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=462612%2F154623%2F601570%2F146588%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
733 ; Buss 733 ; 9015014673300018 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=40035%2F13796%2F390444%2F181877%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110014%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400034 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=457743%2F153068%2F886890%2F290871%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
741 ; Buss 741 ; 9015014674100006 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=937395%2F319590%2F249598%2F187666%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110020%26station_type%3Ddep%26format%3Djson%26"}
744 ; Buss 744 ; 9015014674400008 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=185088%2F74697%2F158396%2F17502%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110013%26station_type%3Ddep%26format%3Djson%26"}
732 ; Buss 732 ; 9015014673200026 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=669192%2F223500%2F519638%2F36757%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
742 ; Buss 742 ; 9015014674200024 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=463515%2F157494%2F500316%2F95656%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110010%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100027 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=55005%2F21376%2F151132%2F57232%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110005%26station_type%3Ddep%26format%3Djson%26"}
4 ; Buss 4 ; 9015014675400026 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=196083%2F68461%2F454340%2F161816%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110013%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000031 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=138864%2F54927%2F685846%2F296650%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
3 ; Buss 3 ; 9015014675300024 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=635661%2F220544%2F770570%2F173400%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110007%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200027 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=105633%2F53906%2F277942%2F103767%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110006%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103050 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=439809%2F154404%2F579146%2F142971%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100034 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=282411%2F94556%2F902370%2F357056%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400038 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=714396%2F238619%2F686236%2F104994%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
732 ; Buss 732 ; 9015014673200028 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=143421%2F48243%2F120470%2F12431%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100028 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=925965%2F311705%2F486494%2F65416%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110011%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000033 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=799452%2F275123%2F618232%2F42648%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200028 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=553716%2F200618%2F853958%2F242415%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110012%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103052 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=837807%2F287065%2F856682%2F149075%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Öresundståg ; 9015030110101038 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=514707%2F172827%2F8934%2F167104%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110003%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100036 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=600573%2F200610%2F655068%2F127352%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
733 ; Buss 733 ; 9015014673300020 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=299112%2F100155%2F105330%2F47040%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110014%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400040 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=244608%2F82023%2F664450%2F250698%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
732 ; Buss 732 ; 9015014673200030 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=334668%2F111992%2F923356%2F350126%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
742 ; Buss 742 ; 9015014674200026 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=23253%2F10740%2F341998%2F163252%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110010%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100229 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=34482%2F14543%2F114876%2F45944%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110005%26station_type%3Ddep%26format%3Djson%26"}
4 ; Buss 4 ; 9015014675400028 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=926904%2F312068%2F345354%2F136299%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110013%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000035 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=38748%2F21555%2F143364%2F58783%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
3 ; Buss 3 ; 9015014675300026 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=368469%2F131480%2F505472%2F129916%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110007%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200029 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=776850%2F277645%2F371306%2F73305%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110006%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103054 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=472770%2F165391%2F165640%2F74772%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100038 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=780576%2F260613%2F185088%2F167648%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400042 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=171753%2F57738%2F255302%2F70410%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
732 ; Buss 732 ; 9015014673200032 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=94302%2F31870%2F675820%2F306481%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100030 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=700941%2F236697%2F75520%2F195896%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110011%26station_type%3Ddep%26format%3Djson%26"}
3 ; Buss 3 ; 9015014675300028 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=59181%2F22812%2F536540%2F248543%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110007%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000037 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=129849%2F51922%2F242234%2F77852%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
2 ; Buss 2 ; 9015014675200030 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=957093%2F335077%2F585020%2F26530%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110012%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103056 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=396102%2F139839%2F225656%2F19206%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
742 ; Buss 742 ; 9015014674200028 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=757929%2F255631%2F281100%2F112093%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110010%26station_type%3Ddep%26format%3Djson%26"}
744 ; Buss 744 ; 9015014674400010 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=347322%2F128774%2F226424%2F2562%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110013%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400044 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=90855%2F30768%2F211712%2F75571%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
735 ; Buss 735 ; 9015014673500007 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=351933%2F120238%2F90000%2F72311%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
746 ; Buss 746 ; 9015014674600006 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=568773%2F192626%2F843620%2F232219%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110007%26station_type%3Ddep%26format%3Djson%26"}
741 ; Buss 741 ; 9015014674100008 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=425364%2F148912%2F232908%2F25334%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110020%26station_type%3Ddep%26format%3Djson%26"}
747 ; Buss 747 ; 9015014674700002 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=317523%2F122798%2F269648%2F28983%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
717 ; Buss 717 ; 9015014671700010 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=133671%2F63473%2F96846%2F3866%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110019%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Öresundståg ; 9015030110120171 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=712971%2F238927%2F206538%2F134388%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110002%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Öresundståg ; 9015030110101044 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=60237%2F21337%2F542014%2F250931%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110003%26station_type%3Ddep%26format%3Djson%26"}
